Name,Date Created,Status
make things interesting enough for me,"June 15, 2022 8:57 AM",To Do Later
check notes,"June 16, 2022 3:17 AM",To Do
Do backup of telegram channel,"June 15, 2022 4:33 AM",To Do
clean up useless stuff on my hdd,"June 16, 2022 3:17 AM",To Do
make rss list,"June 16, 2022 3:19 AM",To Do
check if github backup works fine after few period of time,"June 15, 2022 4:36 AM",To Do Later
"Make todo & watch list ","June 15, 2022 4:35 AM",To Do Later
Learn more about notion,"June 15, 2022 4:35 AM",To Do Later
Make a “about” page,"June 15, 2022 4:34 AM",To Do Later
Find a way to make blogs with hugo / Find cool template,"June 15, 2022 4:33 AM",To Do Later
make my watch list,"June 16, 2022 3:18 AM",To Do Later
root my phone,"June 16, 2022 3:19 AM",To Do Later
,"June 15, 2022 4:53 AM",
